Label,Sex,Extent,Type,VALUE
Unemployment  rate,Both sexes,Any Extent,"Pain, breathing or any other chronic illness or condition",13.8
Unemployment  rate,Both sexes,Any Extent,"Difficulty dressing, bathing or getting around inside the home",25.5
Unemployment  rate,Both sexes,Any Extent,Difficulty going outside the home,32.9
Unemployment  rate,Both sexes,Any Extent,Difficulty working at a job or business or attending school or college,30.8
Unemployment  rate,Both sexes,Any Extent,Difficulty participating in other activities,22.8
Unemployment  rate,Both sexes,Some Extent,People with a disability,11.2
Unemployment  rate,Both sexes,Some Extent,Blindness or vision impairment,10
Unemployment  rate,Both sexes,Some Extent,Deafness or hearing impairment,9.3
Unemployment  rate,Both sexes,Some Extent,Basic physical activities,20.7
Unemployment  rate,Both sexes,Some Extent,An intellectual disability,28.3
Unemployment  rate,Both sexes,Some Extent,"Learning, remembering or concentrating",21.8
Unemployment  rate,Both sexes,Some Extent,Psychological or emotional condition or a mental health issue,17.8
Unemployment  rate,Both sexes,Some Extent,"Pain, breathing or any other chronic illness or condition",12.6
Unemployment  rate,Both sexes,Some Extent,"Difficulty dressing, bathing or getting around inside the home",24.2
Unemployment  rate,Both sexes,Some Extent,Difficulty going outside the home,31.6
Unemployment  rate,Both sexes,Some Extent,Difficulty working at a job or business or attending school or college,26
Unemployment  rate,Both sexes,Some Extent,Difficulty participating in other activities,20.4
Unemployment  rate,Both sexes,Great Extent,People with a disability,22
Unemployment  rate,Both sexes,Great Extent,Blindness or vision impairment,17.6
Unemployment  rate,Both sexes,Great Extent,Deafness or hearing impairment,13.5
Unemployment  rate,Both sexes,Great Extent,Basic physical activities,30.7
Unemployment  rate,Both sexes,Great Extent,An intellectual disability,32.7
Unemployment  rate,Both sexes,Great Extent,"Learning, remembering or concentrating",30.1
Unemployment  rate,Both sexes,Great Extent,Psychological or emotional condition or a mental health issue,28.6
Unemployment  rate,Both sexes,Great Extent,"Pain, breathing or any other chronic illness or condition",17.8
Unemployment  rate,Both sexes,Great Extent,"Difficulty dressing, bathing or getting around inside the home",29.4
Unemployment  rate,Both sexes,Great Extent,Difficulty going outside the home,36.8
Unemployment  rate,Both sexes,Great Extent,Difficulty working at a job or business or attending school or college,44.9
Unemployment  rate,Both sexes,Great Extent,Difficulty participating in other activities,31.1
Unemployment  rate,Male,Any Extent,People with a disability,14.3
Unemployment  rate,Male,Any Extent,Blindness or vision impairment,11.2
Unemployment  rate,Male,Any Extent,Deafness or hearing impairment,9.5
Unemployment  rate,Male,Any Extent,Basic physical activities,23.8
Unemployment  rate,Male,Any Extent,An intellectual disability,29.5
Unemployment  rate,Male,Any Extent,"Learning, remembering or concentrating",23.9
Unemployment  rate,Male,Any Extent,Psychological or emotional condition or a mental health issue,23.9
Unemployment  rate,Male,Any Extent,"Pain, breathing or any other chronic illness or condition",14.8
Unemployment  rate,Male,Any Extent,"Difficulty dressing, bathing or getting around inside the home",26.1
Unemployment  rate,Male,Any Extent,Difficulty going outside the home,35.6
Unemployment  rate,Male,Any Extent,Difficulty working at a job or business or attending school or college,34.2
Unemployment  rate,Male,Any Extent,Difficulty participating in other activities,25.2
Unemployment  rate,Male,Some Extent,People with a disability,11.9
Unemployment  rate,Male,Some Extent,Blindness or vision impairment,10.7
Unemployment  rate,Male,Some Extent,Deafness or hearing impairment,8.9
Unemployment  rate,Male,Some Extent,Basic physical activities,22.1
Unemployment  rate,Male,Some Extent,An intellectual disability,28.3
Unemployment  rate,Male,Some Extent,"Learning, remembering or concentrating",22.5
Unemployment  rate,Male,Some Extent,Psychological or emotional condition or a mental health issue,21.5
Unemployment  rate,Male,Some Extent,"Pain, breathing or any other chronic illness or condition",13.6
Unemployment  rate,Male,Some Extent,"Difficulty dressing, bathing or getting around inside the home",24.9
Unemployment  rate,Male,Some Extent,Difficulty going outside the home,35.2
Unemployment  rate,Male,Some Extent,Difficulty working at a job or business or attending school or college,29.4
Unemployment  rate,Male,Some Extent,Difficulty participating in other activities,22.9
Unemployment  rate,Male,Great Extent,People with a disability,23.8
Unemployment  rate,Male,Great Extent,Blindness or vision impairment,18.4
Unemployment  rate,Male,Great Extent,Deafness or hearing impairment,13.5
Unemployment  rate,Male,Great Extent,Basic physical activities,31.6
Unemployment  rate,Male,Great Extent,An intellectual disability,32.8
Unemployment  rate,Male,Great Extent,"Learning, remembering or concentrating",32.1
Unemployment  rate,Male,Great Extent,Psychological or emotional condition or a mental health issue,33.7
Unemployment  rate,Male,Great Extent,"Pain, breathing or any other chronic illness or condition",19.3
Unemployment  rate,Male,Great Extent,"Difficulty dressing, bathing or getting around inside the home",29.4
Unemployment  rate,Male,Great Extent,Difficulty going outside the home,36.6
Unemployment  rate,Male,Great Extent,Difficulty working at a job or business or attending school or college,47.3
Unemployment  rate,Male,Great Extent,Difficulty participating in other activities,32.9
Unemployment  rate,Female,Any Extent,People with a disability,12.5
Unemployment  rate,Female,Any Extent,Blindness or vision impairment,9.8
Unemployment  rate,Female,Any Extent,Deafness or hearing impairment,10.5
Unemployment  rate,Female,Any Extent,Basic physical activities,20.9
Unemployment  rate,Female,Any Extent,An intellectual disability,29.2
Unemployment  rate,Female,Any Extent,"Learning, remembering or concentrating",21.7
Unemployment  rate,Female,Any Extent,Psychological or emotional condition or a mental health issue,16.9
Unemployment  rate,Female,Any Extent,"Pain, breathing or any other chronic illness or condition",12.8
Unemployment  rate,Female,Any Extent,"Difficulty dressing, bathing or getting around inside the home",24.9
Unemployment  rate,Female,Any Extent,Difficulty going outside the home,30.4
Unemployment  rate,Female,Any Extent,Difficulty working at a job or business or attending school or college,27.2
Unemployment  rate,Female,Any Extent,Difficulty participating in other activities,20.4
Unemployment  rate,Female,Some Extent,People with a disability,10.5
Unemployment  rate,Female,Some Extent,Blindness or vision impairment,9.4
Unemployment  rate,Female,Some Extent,Deafness or hearing impairment,10
Unemployment  rate,Female,Some Extent,Basic physical activities,19.3
Unemployment  rate,Female,Some Extent,An intellectual disability,28.1
Unemployment  rate,Female,Some Extent,"Learning, remembering or concentrating",20.8
Unemployment  rate,Female,Some Extent,Psychological or emotional condition or a mental health issue,15
Unemployment  rate,Female,Some Extent,"Pain, breathing or any other chronic illness or condition",11.7
Unemployment  rate,Female,Some Extent,"Difficulty dressing, bathing or getting around inside the home",23.6
Unemployment  rate,Female,Some Extent,Difficulty going outside the home,28.5
Unemployment  rate,Female,Some Extent,Difficulty working at a job or business or attending school or college,22.6
Unemployment  rate,Female,Some Extent,Difficulty participating in other activities,18
Unemployment  rate,Female,Great Extent,People with a disability,20.1
Unemployment  rate,Female,Great Extent,Blindness or vision impairment,16.5
Unemployment  rate,Female,Great Extent,Deafness or hearing impairment,13.4
Unemployment  rate,Female,Great Extent,Basic physical activities,29.6
Unemployment  rate,Female,Great Extent,An intellectual disability,32.4
Unemployment  rate,Female,Great Extent,"Learning, remembering or concentrating",27.2
Unemployment  rate,Female,Great Extent,Psychological or emotional condition or a mental health issue,24.7
Unemployment  rate,Female,Great Extent,"Pain, breathing or any other chronic illness or condition",16.5
Unemployment  rate,Female,Great Extent,"Difficulty dressing, bathing or getting around inside the home",29.3
Unemployment  rate,Female,Great Extent,Difficulty going outside the home,36.9
Unemployment  rate,Female,Great Extent,Difficulty working at a job or business or attending school or college,42.1
Unemployment  rate,Female,Great Extent,Difficulty participating in other activities,29.2
